Model,TBS1072C
Firmware Version,v2015-08-04-prequal4ch70_v1.3

Point Format,Y
Horizontal Units,Hz
Horizontal Scale,390.625
Sample Interval,12.5
Filter Frequency,2e+08
Record Length,1250
Gating,0.0% to 100.0%
Probe Attenuation,1
Vertical Units,dB
Vertical Offset,0
Vertical Scale,20
Label,
FFT-FREQ,FFT-AMPL
8.712e+03,-95.5125
8.725e+03,-94.4906
8.738e+03,-99.0062
8.750e+03,-103.519
8.762e+03,-103.519
8.775e+03,-103.519
8.788e+03,-97.3688
8.800e+03,-91.2156
8.812e+03,-97.3688
8.825e+03,-103.519
8.838e+03,-99.0062
8.850e+03,-94.4906
8.862e+03,-95.9969
8.875e+03,-97.5
8.888e+03,-97.5
8.900e+03,-97.5
8.912e+03,-99.0062
8.925e+03,-100.509
8.938e+03,-102.016
8.950e+03,-103.519
8.962e+03,-103.519
8.975e+03,-103.519
8.988e+03,-103.519
9.000e+03,-103.519
9.012e+03,-103.519
9.025e+03,-103.519
9.038e+03,-102.016
9.050e+03,-100.509
9.062e+03,-100.509
9.075e+03,-100.509
9.088e+03,-100.509
9.100e+03,-100.509
9.112e+03,-102.016
9.125e+03,-103.519
9.138e+03,-100.025
9.150e+03,-96.5312
9.162e+03,-100.025
9.175e+03,-103.519
9.188e+03,-100.025
9.200e+03,-96.5312
9.212e+03,-95.2562
9.225e+03,-93.9781
9.238e+03,-98.75
9.250e+03,-103.519
9.262e+03,-99.0062
9.275e+03,-94.4906
9.288e+03,-99.0062
9.300e+03,-103.519
9.312e+03,-103.519
9.325e+03,-103.519
9.338e+03,-102.016
9.350e+03,-100.509
9.362e+03,-102.016
9.375e+03,-103.519
9.388e+03,-100.509
9.400e+03,-97.5
9.412e+03,-100.509
9.425e+03,-103.519
9.438e+03,-103.519
9.450e+03,-103.519
9.462e+03,-103.519
9.475e+03,-103.519
9.488e+03,-97.3688
9.500e+03,-91.2156
9.512e+03,-97.3688
9.525e+03,-103.519
9.538e+03,-103.519
9.550e+03,-103.519
9.562e+03,-100.025
9.575e+03,-96.5312
9.588e+03,-100.025
9.600e+03,-103.519
9.612e+03,-102.016
9.625e+03,-100.509
9.638e+03,-102.016
9.650e+03,-103.519
9.662e+03,-100.509
9.675e+03,-97.5
9.688e+03,-97.5
9.700e+03,-97.5
9.712e+03,-100.509
9.725e+03,-103.519
9.738e+03,-102.016
9.750e+03,-100.509
9.762e+03,-95.7406
9.775e+03,-90.9688
9.788e+03,-97.2438
9.800e+03,-103.519
9.812e+03,-102.016
9.825e+03,-100.509
9.838e+03,-98.5219
9.850e+03,-96.5312
9.862e+03,-100.025
9.875e+03,-103.519
9.888e+03,-100.025
9.900e+03,-96.5312
9.912e+03,-100.025
9.925e+03,-103.519
9.938e+03,-102.016
9.950e+03,-100.509
9.962e+03,-102.016
9.975e+03,-103.519
9.988e+03,-100.025
1.000e+04,-96.5312
1.001e+04,-95.2562
1.002e+04,-93.9781
1.004e+04,-97.2438
1.005e+04,-100.509
1.006e+04,-102.016
1.008e+04,-103.519
1.009e+04,-103.519
1.010e+04,-103.519
1.011e+04,-100.025
1.012e+04,-96.5312
1.014e+04,-100.025
1.015e+04,-103.519
1.016e+04,-100.025
1.018e+04,-96.5312
1.019e+04,-96.5312
1.020e+04,-96.5312
1.021e+04,-100.025
1.022e+04,-103.519
1.024e+04,-98.5188
1.025e+04,-93.5188
1.026e+04,-98.5188
1.028e+04,-103.519
1.029e+04,-100.025
1.030e+04,-96.5312
1.031e+04,-100.025
1.032e+04,-103.519
1.034e+04,-103.519
1.035e+04,-103.519
1.036e+04,-103.519
1.038e+04,-103.519
1.039e+04,-100.509
1.040e+04,-97.5
1.041e+04,-99.0062
1.042e+04,-100.509
1.044e+04,-100.509
1.045e+04,-100.509
1.046e+04,-102.016
1.048e+04,-103.519
1.049e+04,-103.519
1.050e+04,-103.519
1.051e+04,-100.509
1.052e+04,-97.5
1.054e+04,-100.509
1.055e+04,-103.519
1.056e+04,-103.519
1.058e+04,-103.519
1.059e+04,-103.519
1.060e+04,-103.519
1.061e+04,-103.519
1.062e+04,-103.519
1.064e+04,-98.5188
1.065e+04,-93.5188
1.066e+04,-98.5188
1.068e+04,-103.519
1.069e+04,-103.519
1.070e+04,-103.519
1.071e+04,-102.016
1.072e+04,-100.509
1.074e+04,-102.016
1.075e+04,-103.519
1.076e+04,-102.016
1.078e+04,-100.509
1.079e+04,-102.016
1.080e+04,-103.519
1.081e+04,-103.519
1.082e+04,-103.519
1.084e+04,-100.025
1.085e+04,-96.5312
1.086e+04,-98.5219
1.088e+04,-100.509
1.089e+04,-102.016
1.090e+04,-103.519
1.091e+04,-100.025
1.092e+04,-96.5312
1.094e+04,-100.025
1.095e+04,-103.519
1.096e+04,-102.016
1.098e+04,-100.509
1.099e+04,-102.016
1.100e+04,-103.519
1.101e+04,-103.519
1.102e+04,-103.519
1.104e+04,-98.5188
1.105e+04,-93.5188
1.106e+04,-98.5188
1.108e+04,-103.519
1.109e+04,-103.519
1.110e+04,-103.519
1.111e+04,-102.016
1.112e+04,-100.509
1.114e+04,-102.016
1.115e+04,-103.519
1.116e+04,-103.519
1.118e+04,-103.519
1.119e+04,-100.025
1.120e+04,-96.5312
1.121e+04,-98.5219
1.122e+04,-100.509
1.124e+04,-98.5219
1.125e+04,-96.5312
1.126e+04,-98.5219
1.128e+04,-100.509
1.129e+04,-102.016
1.130e+04,-103.519
1.131e+04,-103.519
1.132e+04,-103.519
1.134e+04,-103.519
1.135e+04,-103.519
1.136e+04,-102.016
1.138e+04,-100.509
1.139e+04,-102.016
1.140e+04,-103.519
1.141e+04,-100.025
1.142e+04,-96.5312
1.144e+04,-98.5219
1.145e+04,-100.509
1.146e+04,-100.509
1.148e+04,-100.509
1.149e+04,-102.016
1.150e+04,-103.519
1.151e+04,-97.95
1.152e+04,-92.3812
1.154e+04,-97.95
1.155e+04,-103.519
1.156e+04,-103.519
1.158e+04,-103.519
1.159e+04,-103.519
1.160e+04,-103.519
1.161e+04,-103.519
1.162e+04,-103.519
1.164e+04,-102.016
1.165e+04,-100.509
1.166e+04,-98.5219
1.168e+04,-96.5312
1.169e+04,-97.0156
1.170e+04,-97.5
1.171e+04,-97.5
1.172e+04,-97.5
1.174e+04,-97.0156
1.175e+04,-96.5312
1.176e+04,-100.025
1.178e+04,-103.519
1.179e+04,-103.519
1.180e+04,-103.519
1.181e+04,-100.509
1.182e+04,-97.5
1.184e+04,-97.5
1.185e+04,-97.5
1.186e+04,-100.509
1.188e+04,-103.519
1.189e+04,-103.519
1.190e+04,-103.519
1.191e+04,-103.519
1.192e+04,-103.519
1.194e+04,-99.0062
1.195e+04,-94.4906
1.196e+04,-97.5
1.198e+04,-100.509
1.199e+04,-99.0062
1.200e+04,-97.5
1.201e+04,-100.509
1.202e+04,-103.519
1.204e+04,-102.016
1.205e+04,-100.509
1.206e+04,-102.016
1.208e+04,-103.519
1.209e+04,-100.025
1.210e+04,-96.5312
1.211e+04,-100.025
1.212e+04,-103.519
1.214e+04,-103.519
1.215e+04,-103.519
1.216e+04,-103.519
1.218e+04,-103.519
1.219e+04,-103.519
1.220e+04,-103.519
1.221e+04,-103.519
1.222e+04,-103.519
1.224e+04,-100.509
1.225e+04,-97.5
1.226e+04,-97.5
